,test folders,class,precision,recall,f1-score,support
0,"1,2,3",air_conditioner,0.6333333333333333,0.285,0.393103448275862,200
1,"1,2,3",car_horn,0.8115942028985508,0.717948717948718,0.7619047619047619,78
2,"1,2,3",children_playing,0.5899280575539568,0.82,0.6861924686192469,200
3,"1,2,3",dog_bark,0.7647058823529411,0.78,0.7722772277227723,200
4,"1,2,3",drilling,0.5234042553191489,0.615,0.5655172413793103,200
5,"1,2,3",engine_idling,0.5205479452054794,0.5816326530612245,0.5493975903614458,196
6,"1,2,3",gun_shot,0.6276595744680851,0.8428571428571429,0.7195121951219512,70
7,"1,2,3",jackhammer,0.46236559139784944,0.35833333333333334,0.40375586854460094,240
8,"1,2,3",siren,0.8343949044585988,0.7401129943502824,0.7844311377245509,177
9,"1,2,3",street_music,0.6768558951965066,0.775,0.7226107226107226,200
10,"4,5,6",air_conditioner,0.423841059602649,0.32,0.3646723646723647,200
11,"4,5,6",car_horn,0.9380530973451328,0.6751592356687898,0.7851851851851851,157
12,"4,5,6",children_playing,0.7525252525252525,0.745,0.7487437185929648,200
13,"4,5,6",dog_bark,0.6666666666666666,0.75,0.7058823529411765,200
14,"4,5,6",drilling,0.5152838427947598,0.59,0.5501165501165501,200
15,"4,5,6",engine_idling,0.6093023255813953,0.6121495327102804,0.6107226107226108,214
16,"4,5,6",gun_shot,0.7976190476190477,0.8589743589743589,0.8271604938271606,78
17,"4,5,6",jackhammer,0.5471698113207547,0.6041666666666666,0.5742574257425742,240
18,"4,5,6",siren,0.8776371308016878,0.8776371308016878,0.8776371308016878,237
19,"4,5,6",street_music,0.69377990430622,0.725,0.7090464547677262,200
20,"7,8,9",air_conditioner,0.6301369863013698,0.46,0.5317919075144509,200
21,"7,8,9",car_horn,0.7,0.8448275862068966,0.765625,58
22,"7,8,9",children_playing,0.8152866242038217,0.64,0.7170868347338937,200
23,"7,8,9",dog_bark,0.8838383838383839,0.875,0.8793969849246231,200
24,"7,8,9",drilling,0.6633165829145728,0.66,0.6616541353383459,200
25,"7,8,9",engine_idling,0.5970149253731343,0.6185567010309279,0.6075949367088608,194
26,"7,8,9",gun_shot,0.9506172839506173,0.9506172839506173,0.9506172839506173,81
27,"7,8,9",jackhammer,0.6047904191616766,0.6558441558441559,0.6292834890965732,154
28,"7,8,9",siren,0.6586826347305389,0.7006369426751592,0.6790123456790124,157
29,"7,8,9",street_music,0.6162790697674418,0.795,0.6943231441048034,200
30,"10,1,2",air_conditioner,0.5524475524475524,0.395,0.4606413994169096,200
31,"10,1,2",car_horn,0.8450704225352113,0.8695652173913043,0.8571428571428571,69
32,"10,1,2",children_playing,0.6652360515021459,0.775,0.7159353348729792,200
33,"10,1,2",dog_bark,0.658008658008658,0.76,0.7053364269141531,200
34,"10,1,2",drilling,0.46387832699619774,0.61,0.5269978401727861,200
35,"10,1,2",engine_idling,0.6337209302325582,0.5767195767195767,0.6038781163434903,189
36,"10,1,2",gun_shot,0.8260869565217391,0.8507462686567164,0.838235294117647,67
37,"10,1,2",jackhammer,0.4155844155844156,0.2962962962962963,0.34594594594594597,216
38,"10,1,2",siren,0.75,0.7100591715976331,0.7294832826747719,169
39,"10,1,2",street_music,0.7429906542056075,0.795,0.7681159420289855,200
