,class_score,precision,recall,f1-score,support,test_folder
95,drilling,0.6271186440677966,0.74,0.6788990825688074,100.0,8
96,engine_idling,0.6307692307692307,0.4659090909090909,0.5359477124183006,88.0,8
97,gun_shot,0.92,0.7666666666666667,0.8363636363636363,30.0,8
98,jackhammer,0.6333333333333333,0.7307692307692307,0.6785714285714285,78.0,8
99,siren,0.6285714285714286,0.55,0.5866666666666667,80.0,8
100,street_music,0.5190839694656488,0.68,0.5887445887445887,100.0,8
101,accuracy,0.6228287841191067,0.6228287841191067,0.6228287841191067,0.6228287841191067,8
102,macro avg,0.6570649092979925,0.6420011655011655,0.6427445866776279,806.0,8
103,weighted avg,0.6217008891116623,0.6228287841191067,0.6148742102257304,806.0,8
104,air_conditioner,0.4393939393939394,0.29,0.34939759036144574,100.0,9
105,car_horn,0.8076923076923077,0.65625,0.7241379310344829,32.0,9
106,children_playing,0.8387096774193549,0.78,0.8082901554404146,100.0,9
107,dog_bark,0.65,0.65,0.65,100.0,9
108,drilling,0.6329113924050633,0.5,0.5586592178770949,100.0,9
109,engine_idling,0.7040816326530612,0.7752808988764045,0.7379679144385026,89.0,9
110,gun_shot,1.0,0.7096774193548387,0.8301886792452831,31.0,9
111,jackhammer,0.5892857142857143,0.8048780487804879,0.6804123711340206,82.0,9
112,siren,0.8421052631578947,0.975609756097561,0.903954802259887,82.0,9
113,street_music,0.68,0.85,0.7555555555555556,100.0,9
114,accuracy,0.6924019607843137,0.6924019607843137,0.6924019607843137,0.6924019607843137,9
115,macro avg,0.7184179927007336,0.6991696123109292,0.6998564217346687,816.0,9
116,weighted avg,0.6874815934123628,0.6924019607843137,0.682225205118242,816.0,9
117,air_conditioner,0.6923076923076923,0.63,0.6596858638743456,100.0,10
118,car_horn,0.8064516129032258,0.7575757575757576,0.7812499999999999,33.0,10
119,children_playing,0.7311827956989247,0.68,0.7046632124352332,100.0,10
120,dog_bark,0.6666666666666666,0.76,0.7102803738317756,100.0,10
121,drilling,0.6372549019607843,0.65,0.6435643564356436,100.0,10
122,engine_idling,0.7037037037037037,0.8172043010752689,0.7562189054726368,93.0,10
123,gun_shot,1.0,0.90625,0.9508196721311475,32.0,10
124,jackhammer,0.7325581395348837,0.65625,0.6923076923076923,96.0,10
125,siren,0.6103896103896104,0.5662650602409639,0.5875,83.0,10
126,street_music,0.8018867924528302,0.85,0.8252427184466019,100.0,10
127,accuracy,0.7132616487455197,0.7132616487455197,0.7132616487455197,0.7132616487455197,10
128,macro avg,0.7382401915618322,0.727354511889199,0.7311532794935076,837.0,10
129,weighted avg,0.7144267044643096,0.7132616487455197,0.7121905957957592,837.0,10
